label	text_a
ok	霸王雞菜飯 過橋麵檔最出名就係食霸王雞菜飯，大大碟都係$58，元朗人一定識既過橋麵檔霸王雞菜飯！你隻霸王雞巴閉到吸引到唔少香港九龍嘅朋友專程入嚟識佢！ 首先份量真係好大份！雞夠滑配上香蒜同埋蔥絲簡直一流！豉油既味道岩岩好，唔會過鹹，鋪底嘅係一大堆芽菜！入曬味爽爽聲，次次我都食清碟，幾飽都會食曬佢！ 而巴辣雞好岩食辣嘅人，因為真係好辣好香口好惹味，辣得剛剛好，雞又嫰，芽菜更加入味，送飯真係一流！ 岩曬啲大食嘅男女黎食，一定好滿足！ 
cry	服務態度超級差，冇下次 今晚要過藝術中心睇戲，由於去到灣仔嘅時候已經有啲晏，所以只係能夠匆匆食個麵。   灣仔有好多間麵鋪，諗住車仔麵最快，所以就揀咗呢間....鋪頭都算乾淨，好光猛，但係夜晚七點幾成間鋪頭先得小貓三四隻。   相信香港人都好熟悉車仔麵，一坐低我哋已經見到枱面有張紙自己點餸，我好心急畫完張紙之後已經叫侍應過嚟，叫咗幾’唔該‘都冇人理我 最後我好大聲咁話‘寫野呀唔該’，先至有個男人走過來，仲好串咁同我講話，‘我哋呢度唔寫嘢！’。當其時我真係打個突，心諗你呢啲咩態度 但由於趕住開場，所以諗住急急食完就算，就同侍應講話我其實已經寫好咗，要人過嚟落order。   因為我唔係好肚餓，只係點左三個凈餸，蝦子餅就叫咗個三餸麵、我哋另外在點左個生菜share嚟食。冇幾耐嘢食就嚟，份量唔大，如我所料，呢個我都冇所謂因為香港租金貴。但味道真係超級普通，而且啲菜望落去好唔新鮮，黃黃啡啡咁，我點嘅牛筋上面仲有一條毛 最後我哋出去走嘅時候俾錢，職員都係冇乜禮貌，你唔該或者多謝都冇句。 灣仔咁多食肆、食麵嘅鋪頭、呡間野咁嘅態度真係祝佢好運。 
smile	必食木瓜爺爺 今日入嚟大圍美林村，經過見到大飯糖🤔🤔🤔心諗咁熟面口，原來係上次喺元朗食完既糖水店!!!! 仲以為有排都冇得食😎😎上次點左既木瓜爺爺仍然念念不忘好掛住佢😆😆😆       呢度有好多熟食同甜品，隔離好多枱都午餐甜品一次過😂😂😂 但好野梗係要食完再食，我個肚係要留比木瓜爺爺嘅!!!😋😋   首先頂層係高到成坐山嘅3.6牛乳雪糕🍦🍦🍦牛奶味好濃好香滑，加上中層嘅粒粒新鮮木瓜，簡直係絕配😍😍😍 最底層仲有滿滿嘅椰汁啫喱，非常清甜💓💓💓 balance返個成個口感!!! 每樣野分開食或者撈埋一次過食都一樣咁好味😍😍 絕對100分💯💯💯
ok	普普通通的日本野 日本野相信大家並不陌生今次去食咗間日本串燒餐廳，我自己會覺得太過港式，點解咁講呢大家睇圖都已經知道佢落得太多香料邊上就好似係一間港式嘅串燒鋪頭入邊食到嘅串燒，咁樣成件事就覺得自己好似係一間港式嘅餐廳入邊而唔係日本嘅餐廳。   但係有驚喜嘅係就係佢嘅玉子燒呢個就反而有返啲日本嘅味道另外嗰個炒烏冬就好似係一間港式茶餐廳入邊食到嘅豬頸肉炒烏冬咁樣。另外想順帶一提雖然話佢啲串燒似港式，不過我都幾欣賞呢間餐廳嘅串燒牛舌。 
cry	失望既tea 星期六行完山，黎到奧海城諗住同朋友休息下，見到環境幾好就坐低左 自己好鍾意食scone 見tea meun有就叫左，諗住無死，點知一食就火都黎 — scone set 有一半既靈魂在於 clotted cream, 而呢間餐廳夠膽用whipped cream serve 仲要通知都無 😡 問侍應佢仲好理所當然話 “係呀有時餐廳clotted cream 無貨我地會用whipped cream “ 呢間餐廳既經理同廚師係咪無自己試過？點解咁都可以拎比客？呢碟野仲要收78 加一，whipped cream 邊值呢個價呀大佬😑 
smile	椰子雞煲正 今日又黎左新蒲崗開會，臨收爐前都要見客 ... 唉 !! 不過諗起可以過黎陳儀興再打邊爐，又開心仔左一陣 !! 哈哈 ~~ 今次到我帶隻佬黎邊爐，上次同阿姐食過覺得 OK，今次梗係要帶佢黎威下 !! 今晚都算多人，我都係坐番卡位 ~~ 正 ! 今次睇 MENU 後，想試椰子雞煲 !! 但原來唔係我諗咁架 ~ 我心目中既椰子雞煲梗係好似阿媽煲湯咁啦 !! 佢勁香濃呀 !!! 跟本就係一個汁，姐姐叫我地慢慢食哂個鍋入面既野，就可以加湯邊爐喇 !! 個雞好鮮甜，雖然我知道唔會係新鮮雞，但係一D雪味都冇架 !! 有雞味同好滑 ~~ 入面仲有大量既洋蔥 / 大蔥 / 蒜頭 / 中芹 !! 個湯汁應該有椰漿，好好味 !!! 本來咪就係因為我覺得佢係煲湯既湯底，所以叫左花膠仔 !!! 放左落去，又唔係怪喎 !! 都好爽 ~~ 索左好多湯，大家要一開始放落鍋呀，個人鍾意食淋既膠，所以我地好尾先食 !! 勁正 ~~ 痴實個咀架 !! 唔好以為佢薄呀，其實都真係唔薄 !! 正 ~ 個椰子雞鍋送既 什菇盤，等你食多D菜，好貼心 !! 見到個 MENU 呢款餃子好得意，芥末西芹餃，我地叫左碟，黎到嚇左一跳 !!! 太大隻喇 !!! 應該要叫雙拼，但呢個都好好味呀 ~~ 隻佬勁爆笑 !! 話佢涼左少少可以一口食哂佢 ... 玩野咩 !! 咁我梗係花生啦 ~~ 之後佢咳到上腦，哈哈 ~~ 人地咪講左係芥末囉 !! 抵死 ~ 大家食既時候要小心喇 ~~ 上次飲完杯凍檸茶，今次都係 ~~ 打邊爐有凍檸茶飲，簡直係上左天堂 !! 我地最鍾意食既冬瓜，任何湯底都同佢夾到冇朋友 !! 呢個係我最愛既鬼妹朋友，西洋菜，每逢邊爐，一定要有 !!!! 呢道好好，好多野都可以雙拼 !! 今次係 響鈴 拼 魚皮，好開心呀 !! 響鈴應該係即炸，仲熱同埋有油係張吸油紙 !! 太貼心 ~~ 呢碟係 招牌手切肥牛 (細)，份量都真係唔細 !! 尤其我地食左半隻雞，呢個份量剛好 !! 牛味好夠又鮮甜，有筋既位仲好爽口添 ~ 一石二鳥呀 !! 正 ~~ 
ok	去西貢唔一定食海鮮 平時去西貢一定食海鮮。。。 今次就去咗食一間泰國小吃。。  黃德斌都食過呢間㗎。。  一嚟就叫咗個芋頭煲仔飯。。。 真係好多芋頭同埋好多飯。。。 成個飯其實簡簡單單。。 不過勝在夠熱 所以食落去好有滿足感。。。 食到見底嘅時候仲有飯焦。。。 如果平時鍾意食飯焦嘅人應該幾鍾意。。。  另外仲叫咗個炒通菜。。。 好普通嘅炒通菜。。 不過味道幾好啊。。。 有一種媽媽嘅味道。。 唔錯唔錯。。 仲叫咗一個炸蝦餅。。。 佢個炸蝦餅都算幾大件。。 表皮都炸得夠脆。。。 加埋泰式甜酸醬。。。 兩樣嘢夾埋，一齊好夾  我想分享一樣野。。。 一開頭仲諗住叫多個雞飯。。。 但係侍應阿姐話兩個人食唔到咁多。。。 所以叫我地唔好叫雞飯，改做叫通菜。。。 我覺得呢個侍應阿姐真係好貼心 埋單嘅時候，兩個人三個餸啱啱好食晒。。。 多得個阿姐叫我地唔好叫雞飯。。。 如果唔係應該食唔晒 
cry	中伏 九龍城係泰國菜既聚集地，而朋友又係附近返工，唸住是但搵間泰國菜舖頭坐底食，呢間人少又唔洗排隊，點知伏左中  叫左半隻雞，但D肉好‘鞋’同好實，成碟得一兩件係滑雞，我地都冇食晒呀  椰菜茜，唸住碟菜冇技巧可言啦，炒熟就食得，嘩，咬落去個下，好實正喎⋯⋯要好比牙力，食到牙較都軟埋呀，仲有渣添，味道本來唔錯，可能炒得唔夠熟  明爐烏頭，連條魚都係‘鞋’嫁⋯⋯ 魚控既我覺得唔合，仲要百幾蚊，唔值呢個價 我同朋友食完都覺得中伏，同冇下次
smile	「女子」燒味 食過返尋味 對於「無飯」打工仔嘅我嚟講，午膳時間當然係瞓覺緊要過食飯。但今日同事話想食好燒味，所以我都捨棄左我嘅午睡時間。  其實今次係第二次食，佢出名嘅係慢煮叉燒，上次試過一次，啲肉好腍又甜甜地，幾好食。但始終我本身唔喜歡叉燒，所以都係嗌返個燒腩切雞飯同另外加左個自家制泡菜。 燒腩皮都算脆，雞肉都滑，飯嘅份量岩岩好。而泡茶都幾好食，唔會太辣又酸酸地咁，好醒胃。  同事就嗌左佢最愛嘅慢煮叉燒同油雞脾。 因為佢係得外賣，冇堂食。但我又幾喜歡佢個包裝，完全岩晒宜家嘅環保走塑潮流🤣 
ok	不值一試 開業無幾耐就試下呢間越南野 食完無回頭  第一，食物麻麻地 今次點了鮮蝦豬肉米紙卷，法式紅酒炆牛尾，越式雞絲扎肉撈檬 米紙卷作為生招牌認真麻麻，蘿蔔絲青瓜絲米紙卷的味道mix唔到一齊，唔好食。炆牛尾還好，味道幾好牛味幾出，係全場唯一好少少的菜。撈檬味道好普通，不過份量係幾多，都抵既。  第二，員工太新錯漏百出 餐廳有好多特飲，但員工唔熟飲品的樣，成日出錯單比錯客，坐左一個鐘已搞亂三杯飲品。再者，客人要求碗仔，d 員工睇都唔睇就拎左隻痴住d 餸渣的碗出黎，實在太唔醒目啦！  結論係：不值一試 
cry	我真的覺得不好食 難得兩公婆撐枱腳，睇見店名叫食鮮，應該新鮮掛，開左咁耐都未試過，諗住試吓啦，叫左個牛仔骨套餐$78同埋三文魚帶子丼$78，個牛仔骨唔知係用老抽醃定係燒燶左，仲淋上燒汁黑媽媽，三文魚帶子丼就普通啦，我食左少少三文魚，唔算難食，散叫左個日本一口牛$22一串，好似揸左啲類似沙嗲汁嘅嘢，掩蓋晒啲牛味，另外叫咗個獨家炸蒜燒美國生蠔$48/2隻，我就唔係好覺個生蠔上面有炸蒜喇，仲要出哂水咁，一定要講下嘅就係嗰條鹽燒馬友魚，我見＄98一條諗住平平哋試吓啦，點知條魚上枱已經聞到腥味，打開個魚腩佢居然真係成條魚淨係落鹽齋燒，如果條魚新鮮嘅話應該係好食嘅，但係佢呢條魚真係唔係咁新鮮囉，葱都唔落條，不過佢啱嘅話明係鹽燒丫嘛，呢間食店到底好唔好食，大家自己睇相啦！埋單食咗四百幾，我就覺得唔值囉！P.S. 所有相片都係食物上枱5分鐘內拍攝，亦都無執過相。 
smile	Sunday遠離市區食好西 好耐冇黎赤柱啦 星期日專登入黎hea下，遠離煩囂，而且放假呢度好多狗狗 入到黎都2點幾，食個late lunch先，今日先天氣涼，好想坐係室外食野！ 行左幾間都好多人，黎到Boathouse出面岩岩好有人走，同埋佢裝潢感覺比較靚，就即刻坐低左啦！叫左２個Lunch special。 頂級牛肉漢堡 一擺低果陣睇落以為好乾身會唔好食，咬左一啖之後就完全發覺「包不可貌相」 塊牛肉厚得黎入面唔係全熟，所以係嫩而不’鞋’，仲有好多汁！包入面仲有牛油果醬、煙肉、洋蔥。 但薯條就麻麻地啦，雖然炸得好脆，但就有少少硬同冇咩薯味。  煙三文魚薄片配炒滑蛋 滑蛋炒得好靚，好香滑，上面仲有黑松露醬。 仲有牛油果、洋蔥片、青瓜片，另帶一提Ｄ小番茄好好食   Rotten Apple 個名好得意，入面有蘋果汁、好香既薄荷、同埋檸檬汁，有少少沙冰甘，飲落好fresh好解渴  下次再黎要試下佢既海鮮拼盤先 
ok	清滝日本料理 “站在大丸前細心看看我的路～再下個車站到天后當然最好～” 今日因工作關係臨收工之前要同事去天后站走一轉，平時天后站係歌仔入面就聽得多，咁大個人都係第一次去，估唔到第一次就咁就比左老細。話題好像越拉越遠，講返正題先….做完野之後，難得黎到天后站當然就要看下附近有乜好野食，正當我一手拎部電話出黎看下有乜推介既時候，同事當頭一句“唔洗看啦！行！我帶你去食好西”。當下就帶左我黎依間表面裝潢平平淡淡既日本料理店。 入到店內，由於當時尚早人唔多，所以我地就坐係師傅面前張檯。 同師傅傾左幾句之後，師傅推薦我地試下佢地既刺身同埋生蠔，一試依度既魚生的質素不錯，即叫即切而且鮮味十足。另外生蠔既亦都十分出色，食落味道鮮甜當中更帶有淡淡既海水味，令人胃口大開想食多幾隻。 最後當然唔少得叫返碗烏冬填下肚啦 
cry	中伏，無下次😖 前幾日見食飽晚飯，又想食下甜品，於是喺大圍揾間甜品店，諗住可以滿足一下自己，其實大圍好多甜品店，只係咁啱見哩間都有人排隊，心諗應該幾好嘅，於是就入去試下，點知就中伏 我地叫咗個心太軟加vanilla 雪糕，同一個法式燉蛋。  個心太軟都可以，只係舊雪糕太多冰粒，我無expect你會俾moxxxpack級數嘅雪糕我食，但我食一條普通嘅雀X雪條都滑過你舊冰粒雪糕。另外，個法式燉蛋就仲難食，無甜味丶無香味，真心講，真係未食過一個法式燉蛋可以咁難食。 真係唔會再有下次囉！ 
smile	人氣日式麵包店 一向愛吃麵包，唔係講笑，閒閒地我可以一口氣吃它三、四個！ 今日下午來到太古城Apita內的日式麵包連鎖店 Panash，呢處啲麵包好好食，任何時段都有人排隊買包。 無來一段時間，發覺panash啲麵包貴咗好多。  買咗四款包包   合桃香脆，配合楓糖甜甜哋，軟 熟好味道  芝士波波曾經是我的至愛，以前頗大粒但現在縮咗水，細到好似粒波子咁  紅豆粒綠茶餡，綠茶味不濃 芝士味濃郁，煙煙韌韌，咸咸香香，我還是喜愛芝士味多些  提子甜，鬆餅香脆，入口鬆化，有啲似曲奇餅，但又無佢咁乾，my favourite  朱古力上面佈滿花生碎，朱古力味濃郁，好邪惡，yummy 總結: panash啲麵包係幾好食，但價錢就認真貴， 好似今日買嘅芝士波咁, 要十七蚊四粒，size缩水又脹價，單單幾個麵包都要好幾十蚊，隨時貴過正餐 。 
ok	下午茶😁 今日難得早收工 諗住去食個下午茶鬆一鬆 下午茶我多數選擇 去茶餐廳又唔係價錢平選擇又多又可以飲到我最愛嘅凍檸茶！  去到睇咗一陣左揀右揀，我終於揀咗個下午茶雙拼燒味套餐。  33蚊可以揀兩樣，我就揀咗叉燒拼燒腩瀨粉。  食左2啖，個瀨粉好淡無乜味，我就叫店員攞啲叉燒汁畀我，點知碟叉燒汁非常油， 我落咗一半！  叉燒質地比較"鞋"口,另外個燒腩都比較鹹 ,不過瀨粉質地就幾好 不過要讚下佢嘅 凍檸茶，因為足足有四片檸檬 夠曬足料 咁嘅價錢，又坐得舒服總算ok啦 
cry	奇怪！ 黑過墨汁朱古力窩夫🍫($40) 一坐底就發現個menu所有吸引既甜品都冇曬，侍應話暫時都冇貨。 唯有普普通通叫返個朱古力窩夫啦，一上枱，喂咁黑色既？竹炭咁款喎😂。窩夫用竹籤串住，質感好奇怪，雖然外面都脆脆地，但拮入去入面好濕，好似食緊梳乎厘咁，感覺好奇怪，而且冇乜朱古力味。上面淋既朱古力醬味道亦都好假😥。最差係雪糕，有好大陣榴槤味，對於唔食榴槤既朋友真係零個尊重！ 
smile	好有心的西餐廳 由九龍塘站出發大約行15分鐘， 就在浸會大學附近一個細型商場入面，一入門口就見到。 餐廳有啲懷舊feel，有教堂通花玻璃窗， 牆上掛上好多懷舊相片，仲有一個拱形橫樑同設計別緻的水吧。 燈光暗暗哋都幾適合情侶幫襯。 終於叫嘢食了，我哋叫咗dinner set 有齊曬餐湯主菜嘢飲同甜品都係百零至二百蚊一個人。先來個羅宋湯， 感覺到佢好有心機烹調， 好有誠意又足料，非一般的好好味 跟住主菜，牛扒配意大利飯同香煎龍脷柳都係份量十足，好有誠意同心機，好味 仲有個甜品係好懷舊嘅雪糕加啫喱， 有兒時情懷。我哋仲叫多咗一個心太軟甜品，都係非常好味 
ok	食物平平，服務可以 今日年初二，好多小店都唔開，唯有去商場舖食 8點幾先去到，兩個人唔駛等位 一人叫左一個主食醫肚就算，我叫左鱔糊炒年糕，朋友叫左酸辣湯拉麵 鱔糊炒年糕都幾多，鱔糊份量絕不手軟，偏淺色既鱔糊偏脆口，深色果啲肉質較硬，芽菜爽口，年糕煙韌，趙到好攰。。。唔會太油或太咸，整體ok 朋友話酸酸湯拉麵偏酸，辣度適中，材料都係一般木耳，冬菇，荀等等，木耳同荀都爽口，冬菇正常，麵唔會煮得太淋，整體都係正正常常 新春都係另收加一，acceptable，店員服務都ok，坐得舒服，不過環境偏嘈，overall不過不失 
cry	自己睇內文 我一心去E間上網講到天上有地下無既回憶小店食野. 老公話: 未食過, 會唔會有伏架 (老公平身係一個好穩陣既人) 我話: 應該OK既, FB D人話OK架喎, 重話好難得有間用心小店, 試下又無壞既. 晚上8點半, 去到門口, E 點解會有吉台既, 重要係3-4張.  當我老公想走個時我就拉左佢入去. 入到去坐低, 裝修都真係幾懷舊. 一睇個車子面既紙. 唔算好多選擇,  但基本車仔面要有既都會有. 我叫左個泰國粉絲+大腸+魚片頭 (咖哩汁)   一放上台, 果然, 死緊. 賣相唔吸引, 連食慾都冇埋 老公見到我面有難色 : 食左先再比定案, 唔好睇個樣就定人死罪. 咁又係, 可能好食唔好睇呢. 同埋.車仔面你想人地比咩野賣相你呢?? 第一啖: 哇. 個個咩汁黎架. 第二啖: 我都唔再放入口, 我形容唔到. 總之唔想食. 老公見到我咁既情況. 佢提議交換食.  食個雞冇咩野, 個飯就出事了.  我食到D菜 帶一陣酸酸地.  我第一啖以為係錯覺. 第二啖, 我就知錯喇. 我知道我入錯左黎. 我唔可以講佢係差/唔好食, 我只可以講. 我唔鍾意食.  我十分確定我唔會再入去....     
